A,B,Support,Confidence,Lift,Group,supporto_test,confidenza_test,lift_test
"('qk3_score', 'qk6_score', 'qk7_2_score')","('qf10_4_score', 'qf10_6_score', 'qf12_score')",0.12166172106824925,0.6119402985074627,1.3567360565593085,Diploma_Millennials,0.10227272727272728,0.574468085106383,1.1383954714034745
"('qk4_score', 'qk5_score', 'qk6_score')","('qf10_4_score', 'qf10_6_score', 'qf12_score')",0.14540059347181009,0.6282051282051282,1.39279689608637,Diploma_Millennials,0.12121212121212122,0.5691699604743083,1.1278964354353265
"('qk3_score', 'qk4_score', 'qk5_score', 'qk7_3_score')","('qf10_4_score', 'qf12_score')",0.13056379821958458,0.8627450980392157,1.358621953454279,Diploma_Millennials,0.1207912457912458,0.8176638176638177,1.1824523620019665
"('qk4_score', 'qk5_score', 'qk6_score', 'qk7_1_score')","('qf10_4_score', 'qf10_6_score', 'qf12_score')",0.13353115727002968,0.625,1.3856907894736843,Diploma_Millennials,0.11195286195286196,0.5782608695652174,1.145911447945752
"('qk4_score', 'qk5_score', 'qk6_score', 'qk7_2_score')","('qf10_4_score', 'qf10_6_score', 'qf12_score')",0.1394658753709199,0.6527777777777779,1.447277046783626,Diploma_Millennials,0.10942760942760943,0.5739514348785871,1.1373716507685763
"('qk4_score', 'qk5_score', 'qk6_score', 'qk7_1_score', 'qk7_2_score')","('qf10_4_score', 'qf10_6_score', 'qf12_score')",0.12759643916913946,0.6323529411764706,1.4019930340557274,Diploma_Millennials,0.10227272727272728,0.5785714285714286,1.146526867627785
"('qk3_score', 'qk5_score', 'qk6_score')","('qf3_score', 'qf10_4_score')",0.1297709923664122,0.6666666666666666,1.3862433862433863,Diploma_Gen_X,0.09259259259259259,0.5513784461152882,1.1770666558579737
"('qk3_score', 'qk5_score', 'qk6_score', 'qk7_1_score')","('qf3_score', 'qf10_4_score')",0.12213740458015267,0.6530612244897959,1.3579527048914801,Diploma_Gen_X,0.08585858585858586,0.5543478260869565,1.1834056017813197
"('qk3_score', 'qk5_score', 'qk6_score', 'qk7_2_score')","('qf3_score', 'qf10_4_score')",0.12213740458015267,0.6956521739130435,1.4465148378191857,Diploma_Gen_X,0.08501683501683502,0.5564738292011019,1.1879441313403578
"('qk4_score', 'qk7_1_score', 'qk7_2_score', 'qk7_3_score')","('qf10_1_score', 'qf10_4_score', 'qf12_score')",0.1206896551724138,0.7,1.3533333333333333,No_diploma_Gen_X,0.15782828282828282,0.6944444444444444,1.1570827489481068
